DSU,N,E,ipf,ssf,shuffle,Score,Score Error
Usual,1000000,4000000,0.02,0.1,true,1624742.624,227225.268
Usual:cross_node_read,1000000,4000000,0.02,0.1,true,0.000,0.000
Usual:this_node_read,1000000,4000000,0.02,0.1,true,0.000,0.000
Usual:cross_node_write,1000000,4000000,0.02,0.1,true,0.000,0.000
Usual:this_node_read_success,1000000,4000000,0.02,0.1,true,0.000,0.000
Usual:this_node_write,1000000,4000000,0.02,0.1,true,0.000,0.000
Usual:global_data_read_write,1000000,4000000,0.02,0.1,true,0.000,0.000
Usual:same_set_requests_true,1000000,4000000,0.02,0.1,true,333643.167,290.959
Usual:same_set_requests_false,1000000,4000000,0.02,0.1,true,111144.833,95.296
Usual:union_requests,1000000,4000000,0.02,0.1,true,3999557.000,366.974
Usual:hist_begin,1000000,4000000,0.02,0.1,true,0,0
Usual:hist_end,1000000,4000000,0.02,0.1,true,30,0
ParallelUnions/halfing,1000000,4000000,0.02,0.1,true,1478546.591,99599.678
ParallelUnions/halfing:cross_node_read,1000000,4000000,0.02,0.1,true,999736.500,23.296
ParallelUnions/halfing:this_node_read,1000000,4000000,0.02,0.1,true,12313466.167,1211762.655
ParallelUnions/halfing:cross_node_write,1000000,4000000,0.02,0.1,true,1999272.000,24.100
ParallelUnions/halfing:this_node_read_success,1000000,4000000,0.02,0.1,true,0.000,0.000
ParallelUnions/halfing:this_node_write,1000000,4000000,0.02,0.1,true,3374434.000,255075.803
ParallelUnions/halfing:global_data_read_write,1000000,4000000,0.02,0.1,true,2001066.500,167.186
ParallelUnions/halfing:same_set_requests_true,1000000,4000000,0.02,0.1,true,333454.167,464.800
ParallelUnions/halfing:same_set_requests_false,1000000,4000000,0.02,0.1,true,111333.833,101.071
ParallelUnions/halfing:union_requests,1000000,4000000,0.02,0.1,true,3999557.000,366.974
ParallelUnions/halfing:hist_begin,1000000,4000000,0.02,0.1,true,30,0
ParallelUnions/halfing:hist_end,1000000,4000000,0.02,0.1,true,60,0
Adaptive2/halfing,1000000,4000000,0.02,0.1,true,1273479.617,233120.036
Adaptive2/halfing:cross_node_read,1000000,4000000,0.02,0.1,true,735663.500,5435.856
Adaptive2/halfing:this_node_read,1000000,4000000,0.02,0.1,true,24227234.333,433752.033
Adaptive2/halfing:cross_node_write,1000000,4000000,0.02,0.1,true,18902.333,457.554
Adaptive2/halfing:this_node_read_success,1000000,4000000,0.02,0.1,true,3814523.500,11295.940
Adaptive2/halfing:this_node_write,1000000,4000000,0.02,0.1,true,2193852.667,233471.539
Adaptive2/halfing:global_data_read_write,1000000,4000000,0.02,0.1,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1000000,4000000,0.02,0.1,true,333650.667,381.968
Adaptive2/halfing:same_set_requests_false,1000000,4000000,0.02,0.1,true,111137.333,27.883
Adaptive2/halfing:union_requests,1000000,4000000,0.02,0.1,true,3999557.000,366.974
Adaptive2/halfing:hist_begin,1000000,4000000,0.02,0.1,true,60,0
Adaptive2/halfing:hist_end,1000000,4000000,0.02,0.1,true,90,0
ParallelUnions/squashing,1000000,4000000,0.02,0.1,true,1474628.133,148002.257
ParallelUnions/squashing:cross_node_read,1000000,4000000,0.02,0.1,true,999713.000,27.814
ParallelUnions/squashing:this_node_read,1000000,4000000,0.02,0.1,true,11495667.167,1069754.757
ParallelUnions/squashing:cross_node_write,1000000,4000000,0.02,0.1,true,1999272.000,24.100
ParallelUnions/squashing:this_node_read_success,1000000,4000000,0.02,0.1,true,0.000,0.000
ParallelUnions/squashing:this_node_write,1000000,4000000,0.02,0.1,true,3277771.000,253183.102
ParallelUnions/squashing:global_data_read_write,1000000,4000000,0.02,0.1,true,2000818.667,116.651
ParallelUnions/squashing:same_set_requests_true,1000000,4000000,0.02,0.1,true,333561.833,421.690
ParallelUnions/squashing:same_set_requests_false,1000000,4000000,0.02,0.1,true,111226.167,62.374
ParallelUnions/squashing:union_requests,1000000,4000000,0.02,0.1,true,3999557.000,366.974
ParallelUnions/squashing:hist_begin,1000000,4000000,0.02,0.1,true,90,0
ParallelUnions/squashing:hist_end,1000000,4000000,0.02,0.1,true,120,0
Adaptive2/squashing,1000000,4000000,0.02,0.1,true,1170903.280,163339.533
Adaptive2/squashing:cross_node_read,1000000,4000000,0.02,0.1,true,757421.333,20821.151
Adaptive2/squashing:this_node_read,1000000,4000000,0.02,0.1,true,24686282.667,206811.858
Adaptive2/squashing:cross_node_write,1000000,4000000,0.02,0.1,true,17122.167,181.740
Adaptive2/squashing:this_node_read_success,1000000,4000000,0.02,0.1,true,3856015.667,20912.811
Adaptive2/squashing:this_node_write,1000000,4000000,0.02,0.1,true,2217941.667,101006.941
Adaptive2/squashing:global_data_read_write,1000000,4000000,0.02,0.1,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,1000000,4000000,0.02,0.1,true,333542.833,174.061
Adaptive2/squashing:same_set_requests_false,1000000,4000000,0.02,0.1,true,111245.167,197.842
Adaptive2/squashing:union_requests,1000000,4000000,0.02,0.1,true,3999557.000,366.974
Adaptive2/squashing:hist_begin,1000000,4000000,0.02,0.1,true,120,0
Adaptive2/squashing:hist_end,1000000,4000000,0.02,0.1,true,150,0
Usual,1000000,4000000,0.1,0.1,true,1584119.863,162537.381
Usual:cross_node_read,1000000,4000000,0.1,0.1,true,0.000,0.000
Usual:this_node_read,1000000,4000000,0.1,0.1,true,0.000,0.000
Usual:cross_node_write,1000000,4000000,0.1,0.1,true,0.000,0.000
Usual:this_node_read_success,1000000,4000000,0.1,0.1,true,0.000,0.000
Usual:this_node_write,1000000,4000000,0.1,0.1,true,0.000,0.000
Usual:global_data_read_write,1000000,4000000,0.1,0.1,true,0.000,0.000
Usual:same_set_requests_true,1000000,4000000,0.1,0.1,true,332801.167,598.879
Usual:same_set_requests_false,1000000,4000000,0.1,0.1,true,111248.833,157.847
Usual:union_requests,1000000,4000000,0.1,0.1,true,4000394.000,445.846
Usual:hist_begin,1000000,4000000,0.1,0.1,true,150,0
Usual:hist_end,1000000,4000000,0.1,0.1,true,180,0
ParallelUnions/halfing,1000000,4000000,0.1,0.1,true,1408840.874,98865.003
ParallelUnions/halfing:cross_node_read,1000000,4000000,0.1,0.1,true,999767.500,6.595
ParallelUnions/halfing:this_node_read,1000000,4000000,0.1,0.1,true,12160839.833,578208.334
ParallelUnions/halfing:cross_node_write,1000000,4000000,0.1,0.1,true,1999373.000,33.959
ParallelUnions/halfing:this_node_read_success,1000000,4000000,0.1,0.1,true,0.000,0.000
ParallelUnions/halfing:this_node_write,1000000,4000000,0.1,0.1,true,3320676.333,148835.175
ParallelUnions/halfing:global_data_read_write,1000000,4000000,0.1,0.1,true,2000988.500,192.386
ParallelUnions/halfing:same_set_requests_true,1000000,4000000,0.1,0.1,true,332806.667,514.137
ParallelUnions/halfing:same_set_requests_false,1000000,4000000,0.1,0.1,true,111243.333,72.951
ParallelUnions/halfing:union_requests,1000000,4000000,0.1,0.1,true,4000394.000,445.846
ParallelUnions/halfing:hist_begin,1000000,4000000,0.1,0.1,true,180,0
ParallelUnions/halfing:hist_end,1000000,4000000,0.1,0.1,true,210,0
Adaptive2/halfing,1000000,4000000,0.1,0.1,true,1146407.365,210848.446
Adaptive2/halfing:cross_node_read,1000000,4000000,0.1,0.1,true,1640517.833,52742.105
Adaptive2/halfing:this_node_read,1000000,4000000,0.1,0.1,true,24622811.500,191986.856
Adaptive2/halfing:cross_node_write,1000000,4000000,0.1,0.1,true,82548.667,444.221
Adaptive2/halfing:this_node_read_success,1000000,4000000,0.1,0.1,true,3981037.167,51423.954
Adaptive2/halfing:this_node_write,1000000,4000000,0.1,0.1,true,2199239.333,124212.532
Adaptive2/halfing:global_data_read_write,1000000,4000000,0.1,0.1,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1000000,4000000,0.1,0.1,true,332777.500,350.235
Adaptive2/halfing:same_set_requests_false,1000000,4000000,0.1,0.1,true,111272.500,96.726
Adaptive2/halfing:union_requests,1000000,4000000,0.1,0.1,true,4000394.000,445.846
Adaptive2/halfing:hist_begin,1000000,4000000,0.1,0.1,true,210,0
Adaptive2/halfing:hist_end,1000000,4000000,0.1,0.1,true,240,0
ParallelUnions/squashing,1000000,4000000,0.1,0.1,true,1325081.195,119781.681
ParallelUnions/squashing:cross_node_read,1000000,4000000,0.1,0.1,true,999820.333,23.123
ParallelUnions/squashing:this_node_read,1000000,4000000,0.1,0.1,true,12927490.500,838635.387
ParallelUnions/squashing:cross_node_write,1000000,4000000,0.1,0.1,true,1999373.000,33.959
ParallelUnions/squashing:this_node_read_success,1000000,4000000,0.1,0.1,true,0.000,0.000
ParallelUnions/squashing:this_node_write,1000000,4000000,0.1,0.1,true,3671098.667,221467.612
ParallelUnions/squashing:global_data_read_write,1000000,4000000,0.1,0.1,true,2001628.833,265.317
ParallelUnions/squashing:same_set_requests_true,1000000,4000000,0.1,0.1,true,332883.167,383.654
ParallelUnions/squashing:same_set_requests_false,1000000,4000000,0.1,0.1,true,111166.833,76.680
ParallelUnions/squashing:union_requests,1000000,4000000,0.1,0.1,true,4000394.000,445.846
ParallelUnions/squashing:hist_begin,1000000,4000000,0.1,0.1,true,240,0
ParallelUnions/squashing:hist_end,1000000,4000000,0.1,0.1,true,270,0
Adaptive2/squashing,1000000,4000000,0.1,0.1,true,990586.987,116702.064
Adaptive2/squashing:cross_node_read,1000000,4000000,0.1,0.1,true,1697292.167,24080.043
Adaptive2/squashing:this_node_read,1000000,4000000,0.1,0.1,true,26097962.667,743022.938
Adaptive2/squashing:cross_node_write,1000000,4000000,0.1,0.1,true,78240.667,1090.165
Adaptive2/squashing:this_node_read_success,1000000,4000000,0.1,0.1,true,4065473.500,50506.905
Adaptive2/squashing:this_node_write,1000000,4000000,0.1,0.1,true,2682466.500,342833.341
Adaptive2/squashing:global_data_read_write,1000000,4000000,0.1,0.1,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,1000000,4000000,0.1,0.1,true,332915.000,433.810
Adaptive2/squashing:same_set_requests_false,1000000,4000000,0.1,0.1,true,111135.000,21.964
Adaptive2/squashing:union_requests,1000000,4000000,0.1,0.1,true,4000394.000,445.846
Adaptive2/squashing:hist_begin,1000000,4000000,0.1,0.1,true,270,0
Adaptive2/squashing:hist_end,1000000,4000000,0.1,0.1,true,300,0
