DSU,Parameter Set,Stage,N,E,ipf,ssf,shuffle,Score,Score Error
Usual,0,0,1000000,4000000,0.02,0,true,1549994.382,110807.800
Usual:cross_node_read,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Usual:this_node_read,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Usual:cross_node_write,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Usual:this_node_read_success,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Usual:this_node_write,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Usual:global_data_read_write,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Usual:same_set_requests_true,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Usual:same_set_requests_false,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Usual:union_requests,0,0,1000000,4000000,0.02,0,true,4000000.000,0.000
Usual:hist_begin,0,0,1000000,4000000,0.02,0,true,0,0
Usual:hist_end,0,0,1000000,4000000,0.02,0,true,36,0
Usual,0,1,1000000,400,0.02,0.9999,true,2977074.663,354058.741
Usual:cross_node_read,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:this_node_read,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:cross_node_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:this_node_read_success,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:this_node_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:global_data_read_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:same_set_requests_true,0,1,1000000,400,0.02,0.9999,true,3996785.000,50.390
Usual:same_set_requests_false,0,1,1000000,400,0.02,0.9999,true,2808.500,32.316
Usual:union_requests,0,1,1000000,400,0.02,0.9999,true,4000000.000,0.000
Usual:hist_begin,0,1,1000000,400,0.02,0.9999,true,36,0
Usual:hist_end,0,1,1000000,400,0.02,0.9999,true,72,0
Usual,0,2,1000000,400,0.02,0.9999,true,3007777.018,360559.962
Usual:cross_node_read,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:this_node_read,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:cross_node_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:this_node_read_success,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:this_node_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:global_data_read_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:same_set_requests_true,0,2,1000000,400,0.02,0.9999,true,3996801.500,81.611
Usual:same_set_requests_false,0,2,1000000,400,0.02,0.9999,true,2792.500,89.279
Usual:union_requests,0,2,1000000,400,0.02,0.9999,true,4000000.000,0.000
Usual:hist_begin,0,2,1000000,400,0.02,0.9999,true,72,0
Usual:hist_end,0,2,1000000,400,0.02,0.9999,true,108,0
ParallelUnions/halfing,0,0,1000000,4000000,0.02,0,true,1064635.081,139933.312
ParallelUnions/halfing:cross_node_read,0,0,1000000,4000000,0.02,0,true,999782.167,28.548
ParallelUnions/halfing:this_node_read,0,0,1000000,4000000,0.02,0,true,33366884.667,3167387.949
ParallelUnions/halfing:cross_node_write,0,0,1000000,4000000,0.02,0,true,1999295.000,5.477
ParallelUnions/halfing:this_node_read_success,0,0,1000000,4000000,0.02,0,true,0.000,0.000
ParallelUnions/halfing:this_node_write,0,0,1000000,4000000,0.02,0,true,1999295.000,5.477
ParallelUnions/halfing:global_data_read_write,0,0,1000000,4000000,0.02,0,true,2000981.833,296.282
ParallelUnions/halfing:same_set_requests_true,0,0,1000000,4000000,0.02,0,true,0.000,0.000
ParallelUnions/halfing:same_set_requests_false,0,0,1000000,4000000,0.02,0,true,0.000,0.000
ParallelUnions/halfing:union_requests,0,0,1000000,4000000,0.02,0,true,4000000.000,0.000
ParallelUnions/halfing:hist_begin,0,0,1000000,4000000,0.02,0,true,108,0
ParallelUnions/halfing:hist_end,0,0,1000000,4000000,0.02,0,true,144,0
ParallelUnions/halfing,0,1,1000000,400,0.02,0.9999,true,1864740.775,401538.331
ParallelUnions/halfing:cross_node_read,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/halfing:this_node_read,0,1,1000000,400,0.02,0.9999,true,37098801.000,4389302.843
ParallelUnions/halfing:cross_node_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/halfing:this_node_read_success,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/halfing:this_node_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/halfing:global_data_read_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/halfing:same_set_requests_true,0,1,1000000,400,0.02,0.9999,true,3996785.000,50.390
ParallelUnions/halfing:same_set_requests_false,0,1,1000000,400,0.02,0.9999,true,2808.500,32.316
ParallelUnions/halfing:union_requests,0,1,1000000,400,0.02,0.9999,true,4000000.000,0.000
ParallelUnions/halfing:hist_begin,0,1,1000000,400,0.02,0.9999,true,144,0
ParallelUnions/halfing:hist_end,0,1,1000000,400,0.02,0.9999,true,180,0
ParallelUnions/halfing,0,2,1000000,400,0.02,0.9999,true,2244325.499,296410.309
ParallelUnions/halfing:cross_node_read,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/halfing:this_node_read,0,2,1000000,400,0.02,0.9999,true,5411752.167,381467.964
ParallelUnions/halfing:cross_node_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/halfing:this_node_read_success,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/halfing:this_node_write,0,2,1000000,400,0.02,0.9999,true,1085198.500,89090.979
ParallelUnions/halfing:global_data_read_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/halfing:same_set_requests_true,0,2,1000000,400,0.02,0.9999,true,3996801.500,81.611
ParallelUnions/halfing:same_set_requests_false,0,2,1000000,400,0.02,0.9999,true,2792.500,89.279
ParallelUnions/halfing:union_requests,0,2,1000000,400,0.02,0.9999,true,4000000.000,0.000
ParallelUnions/halfing:hist_begin,0,2,1000000,400,0.02,0.9999,true,180,0
ParallelUnions/halfing:hist_end,0,2,1000000,400,0.02,0.9999,true,216,0
Adaptive2/halfing,0,0,1000000,4000000,0.02,0,true,800472.517,308569.054
Adaptive2/halfing:cross_node_read,0,0,1000000,4000000,0.02,0,true,5632343.833,1504758.937
Adaptive2/halfing:this_node_read,0,0,1000000,4000000,0.02,0,true,39735088.000,2373526.311
Adaptive2/halfing:cross_node_write,0,0,1000000,4000000,0.02,0,true,18390.167,617.763
Adaptive2/halfing:this_node_read_success,0,0,1000000,4000000,0.02,0,true,6581888.500,1250926.233
Adaptive2/halfing:this_node_write,0,0,1000000,4000000,0.02,0,true,981422.667,612.340
Adaptive2/halfing:global_data_read_write,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive2/halfing:same_set_requests_false,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive2/halfing:union_requests,0,0,1000000,4000000,0.02,0,true,4000000.000,0.000
Adaptive2/halfing:hist_begin,0,0,1000000,4000000,0.02,0,true,216,0
Adaptive2/halfing:hist_end,0,0,1000000,4000000,0.02,0,true,252,0
Adaptive2/halfing,0,1,1000000,400,0.02,0.9999,true,859975.997,353199.674
Adaptive2/halfing:cross_node_read,0,1,1000000,400,0.02,0.9999,true,7049269.000,2196814.121
Adaptive2/halfing:this_node_read,0,1,1000000,400,0.02,0.9999,true,41379737.667,3416244.349
Adaptive2/halfing:cross_node_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/halfing:this_node_read_success,0,1,1000000,400,0.02,0.9999,true,5750118.500,1505887.096
Adaptive2/halfing:this_node_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/halfing:global_data_read_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,0,1,1000000,400,0.02,0.9999,true,3996785.000,50.390
Adaptive2/halfing:same_set_requests_false,0,1,1000000,400,0.02,0.9999,true,2808.500,32.316
Adaptive2/halfing:union_requests,0,1,1000000,400,0.02,0.9999,true,4000000.000,0.000
Adaptive2/halfing:hist_begin,0,1,1000000,400,0.02,0.9999,true,252,0
Adaptive2/halfing:hist_end,0,1,1000000,400,0.02,0.9999,true,288,0
Adaptive2/halfing,0,2,1000000,400,0.02,0.9999,true,1419484.602,366619.555
Adaptive2/halfing:cross_node_read,0,2,1000000,400,0.02,0.9999,true,1370817.500,792957.082
Adaptive2/halfing:this_node_read,0,2,1000000,400,0.02,0.9999,true,18003462.333,174479.086
Adaptive2/halfing:cross_node_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/halfing:this_node_read_success,0,2,1000000,400,0.02,0.9999,true,223058.000,61760.484
Adaptive2/halfing:this_node_write,0,2,1000000,400,0.02,0.9999,true,985687.833,133635.958
Adaptive2/halfing:global_data_read_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,0,2,1000000,400,0.02,0.9999,true,3996801.500,81.611
Adaptive2/halfing:same_set_requests_false,0,2,1000000,400,0.02,0.9999,true,2792.500,89.279
Adaptive2/halfing:union_requests,0,2,1000000,400,0.02,0.9999,true,4000000.000,0.000
Adaptive2/halfing:hist_begin,0,2,1000000,400,0.02,0.9999,true,288,0
Adaptive2/halfing:hist_end,0,2,1000000,400,0.02,0.9999,true,324,0
Adaptive3/halfing,0,0,1000000,4000000,0.02,0,true,847336.129,233180.032
Adaptive3/halfing:cross_node_read,0,0,1000000,4000000,0.02,0,true,7069882.333,665409.444
Adaptive3/halfing:this_node_read,0,0,1000000,4000000,0.02,0,true,38185992.333,2374988.029
Adaptive3/halfing:cross_node_write,0,0,1000000,4000000,0.02,0,true,17261.333,83.526
Adaptive3/halfing:this_node_read_success,0,0,1000000,4000000,0.02,0,true,5962471.500,730794.185
Adaptive3/halfing:this_node_write,0,0,1000000,4000000,0.02,0,true,982556.000,91.258
Adaptive3/halfing:global_data_read_write,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive3/halfing:same_set_requests_false,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive3/halfing:union_requests,0,0,1000000,4000000,0.02,0,true,4000000.000,0.000
Adaptive3/halfing:hist_begin,0,0,1000000,4000000,0.02,0,true,324,0
Adaptive3/halfing:hist_end,0,0,1000000,4000000,0.02,0,true,360,0
Adaptive3/halfing,0,1,1000000,400,0.02,0.9999,true,510759.240,200003.463
Adaptive3/halfing:cross_node_read,0,1,1000000,400,0.02,0.9999,true,3112785.833,81875.673
Adaptive3/halfing:this_node_read,0,1,1000000,400,0.02,0.9999,true,32346204.167,3256343.325
Adaptive3/halfing:cross_node_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/halfing:this_node_read_success,0,1,1000000,400,0.02,0.9999,true,29229959.500,3177179.199
Adaptive3/halfing:this_node_write,0,1,1000000,400,0.02,0.9999,true,82254.167,4187.493
Adaptive3/halfing:global_data_read_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,0,1,1000000,400,0.02,0.9999,true,3996785.000,50.390
Adaptive3/halfing:same_set_requests_false,0,1,1000000,400,0.02,0.9999,true,2808.500,32.316
Adaptive3/halfing:union_requests,0,1,1000000,400,0.02,0.9999,true,4000000.000,0.000
Adaptive3/halfing:hist_begin,0,1,1000000,400,0.02,0.9999,true,360,0
Adaptive3/halfing:hist_end,0,1,1000000,400,0.02,0.9999,true,396,0
Adaptive3/halfing,0,2,1000000,400,0.02,0.9999,true,741457.008,192929.100
Adaptive3/halfing:cross_node_read,0,2,1000000,400,0.02,0.9999,true,2452552.333,31439.594
Adaptive3/halfing:this_node_read,0,2,1000000,400,0.02,0.9999,true,15373712.500,265904.701
Adaptive3/halfing:cross_node_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/halfing:this_node_read_success,0,2,1000000,400,0.02,0.9999,true,12919178.833,234555.967
Adaptive3/halfing:this_node_write,0,2,1000000,400,0.02,0.9999,true,991843.833,92045.825
Adaptive3/halfing:global_data_read_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,0,2,1000000,400,0.02,0.9999,true,3996801.500,81.611
Adaptive3/halfing:same_set_requests_false,0,2,1000000,400,0.02,0.9999,true,2792.500,89.279
Adaptive3/halfing:union_requests,0,2,1000000,400,0.02,0.9999,true,4000000.000,0.000
Adaptive3/halfing:hist_begin,0,2,1000000,400,0.02,0.9999,true,396,0
Adaptive3/halfing:hist_end,0,2,1000000,400,0.02,0.9999,true,432,0
ParallelUnions/squashing,0,0,1000000,4000000,0.02,0,true,1141100.060,101137.820
ParallelUnions/squashing:cross_node_read,0,0,1000000,4000000,0.02,0,true,999778.333,28.703
ParallelUnions/squashing:this_node_read,0,0,1000000,4000000,0.02,0,true,31572670.167,1325379.633
ParallelUnions/squashing:cross_node_write,0,0,1000000,4000000,0.02,0,true,1999295.000,5.477
ParallelUnions/squashing:this_node_read_success,0,0,1000000,4000000,0.02,0,true,0.000,0.000
ParallelUnions/squashing:this_node_write,0,0,1000000,4000000,0.02,0,true,1999295.000,5.477
ParallelUnions/squashing:global_data_read_write,0,0,1000000,4000000,0.02,0,true,2000692.333,187.686
ParallelUnions/squashing:same_set_requests_true,0,0,1000000,4000000,0.02,0,true,0.000,0.000
ParallelUnions/squashing:same_set_requests_false,0,0,1000000,4000000,0.02,0,true,0.000,0.000
ParallelUnions/squashing:union_requests,0,0,1000000,4000000,0.02,0,true,4000000.000,0.000
ParallelUnions/squashing:hist_begin,0,0,1000000,4000000,0.02,0,true,432,0
ParallelUnions/squashing:hist_end,0,0,1000000,4000000,0.02,0,true,468,0
ParallelUnions/squashing,0,1,1000000,400,0.02,0.9999,true,2095829.987,324808.323
ParallelUnions/squashing:cross_node_read,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/squashing:this_node_read,0,1,1000000,400,0.02,0.9999,true,34518647.333,1658606.414
ParallelUnions/squashing:cross_node_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/squashing:this_node_read_success,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/squashing:this_node_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/squashing:global_data_read_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/squashing:same_set_requests_true,0,1,1000000,400,0.02,0.9999,true,3996785.000,50.390
ParallelUnions/squashing:same_set_requests_false,0,1,1000000,400,0.02,0.9999,true,2808.500,32.316
ParallelUnions/squashing:union_requests,0,1,1000000,400,0.02,0.9999,true,4000000.000,0.000
ParallelUnions/squashing:hist_begin,0,1,1000000,400,0.02,0.9999,true,468,0
ParallelUnions/squashing:hist_end,0,1,1000000,400,0.02,0.9999,true,504,0
ParallelUnions/squashing,0,2,1000000,400,0.02,0.9999,true,2310680.059,221666.195
ParallelUnions/squashing:cross_node_read,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/squashing:this_node_read,0,2,1000000,400,0.02,0.9999,true,4750563.500,74591.473
ParallelUnions/squashing:cross_node_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/squashing:this_node_read_success,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/squashing:this_node_write,0,2,1000000,400,0.02,0.9999,true,1046117.500,19902.416
ParallelUnions/squashing:global_data_read_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/squashing:same_set_requests_true,0,2,1000000,400,0.02,0.9999,true,3996801.500,81.611
ParallelUnions/squashing:same_set_requests_false,0,2,1000000,400,0.02,0.9999,true,2792.500,89.279
ParallelUnions/squashing:union_requests,0,2,1000000,400,0.02,0.9999,true,4000000.000,0.000
ParallelUnions/squashing:hist_begin,0,2,1000000,400,0.02,0.9999,true,504,0
ParallelUnions/squashing:hist_end,0,2,1000000,400,0.02,0.9999,true,540,0
Adaptive2/squashing,0,0,1000000,4000000,0.02,0,true,809687.852,138112.927
Adaptive2/squashing:cross_node_read,0,0,1000000,4000000,0.02,0,true,5547811.167,327645.141
Adaptive2/squashing:this_node_read,0,0,1000000,4000000,0.02,0,true,34843220.667,1539639.179
Adaptive2/squashing:cross_node_write,0,0,1000000,4000000,0.02,0,true,18079.667,294.723
Adaptive2/squashing:this_node_read_success,0,0,1000000,4000000,0.02,0,true,4856238.500,1209504.119
Adaptive2/squashing:this_node_write,0,0,1000000,4000000,0.02,0,true,981733.500,299.310
Adaptive2/squashing:global_data_read_write,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive2/squashing:same_set_requests_false,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive2/squashing:union_requests,0,0,1000000,4000000,0.02,0,true,4000000.000,0.000
Adaptive2/squashing:hist_begin,0,0,1000000,4000000,0.02,0,true,540,0
Adaptive2/squashing:hist_end,0,0,1000000,4000000,0.02,0,true,576,0
Adaptive2/squashing,0,1,1000000,400,0.02,0.9999,true,876861.130,176000.300
Adaptive2/squashing:cross_node_read,0,1,1000000,400,0.02,0.9999,true,7406250.500,402844.994
Adaptive2/squashing:this_node_read,0,1,1000000,400,0.02,0.9999,true,34835106.000,2105436.581
Adaptive2/squashing:cross_node_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/squashing:this_node_read_success,0,1,1000000,400,0.02,0.9999,true,3188019.167,1466185.676
Adaptive2/squashing:this_node_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/squashing:global_data_read_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,0,1,1000000,400,0.02,0.9999,true,3996785.000,50.390
Adaptive2/squashing:same_set_requests_false,0,1,1000000,400,0.02,0.9999,true,2808.500,32.316
Adaptive2/squashing:union_requests,0,1,1000000,400,0.02,0.9999,true,4000000.000,0.000
Adaptive2/squashing:hist_begin,0,1,1000000,400,0.02,0.9999,true,576,0
Adaptive2/squashing:hist_end,0,1,1000000,400,0.02,0.9999,true,612,0
Adaptive2/squashing,0,2,1000000,400,0.02,0.9999,true,1652111.835,361883.228
Adaptive2/squashing:cross_node_read,0,2,1000000,400,0.02,0.9999,true,1601833.500,937835.019
Adaptive2/squashing:this_node_read,0,2,1000000,400,0.02,0.9999,true,18186269.000,129946.105
Adaptive2/squashing:cross_node_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/squashing:this_node_read_success,0,2,1000000,400,0.02,0.9999,true,229575.000,93400.513
Adaptive2/squashing:this_node_write,0,2,1000000,400,0.02,0.9999,true,848234.667,35842.205
Adaptive2/squashing:global_data_read_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,0,2,1000000,400,0.02,0.9999,true,3996801.500,81.611
Adaptive2/squashing:same_set_requests_false,0,2,1000000,400,0.02,0.9999,true,2792.500,89.279
Adaptive2/squashing:union_requests,0,2,1000000,400,0.02,0.9999,true,4000000.000,0.000
Adaptive2/squashing:hist_begin,0,2,1000000,400,0.02,0.9999,true,612,0
Adaptive2/squashing:hist_end,0,2,1000000,400,0.02,0.9999,true,648,0
Adaptive3/squashing,0,0,1000000,4000000,0.02,0,true,964841.512,237599.825
Adaptive3/squashing:cross_node_read,0,0,1000000,4000000,0.02,0,true,4939034.667,981933.050
Adaptive3/squashing:this_node_read,0,0,1000000,4000000,0.02,0,true,34439534.000,2610382.638
Adaptive3/squashing:cross_node_write,0,0,1000000,4000000,0.02,0,true,17097.167,81.308
Adaptive3/squashing:this_node_read_success,0,0,1000000,4000000,0.02,0,true,4907645.500,848708.929
Adaptive3/squashing:this_node_write,0,0,1000000,4000000,0.02,0,true,982729.333,76.787
Adaptive3/squashing:global_data_read_write,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive3/squashing:same_set_requests_false,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive3/squashing:union_requests,0,0,1000000,4000000,0.02,0,true,4000000.000,0.000
Adaptive3/squashing:hist_begin,0,0,1000000,4000000,0.02,0,true,648,0
Adaptive3/squashing:hist_end,0,0,1000000,4000000,0.02,0,true,684,0
Adaptive3/squashing,0,1,1000000,400,0.02,0.9999,true,591187.767,207847.344
Adaptive3/squashing:cross_node_read,0,1,1000000,400,0.02,0.9999,true,3035937.833,11360.276
Adaptive3/squashing:this_node_read,0,1,1000000,400,0.02,0.9999,true,29123403.667,2094356.161
Adaptive3/squashing:cross_node_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/squashing:this_node_read_success,0,1,1000000,400,0.02,0.9999,true,26084323.000,2084838.603
Adaptive3/squashing:this_node_write,0,1,1000000,400,0.02,0.9999,true,76790.333,2241.679
Adaptive3/squashing:global_data_read_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,0,1,1000000,400,0.02,0.9999,true,3996785.000,50.390
Adaptive3/squashing:same_set_requests_false,0,1,1000000,400,0.02,0.9999,true,2808.500,32.316
Adaptive3/squashing:union_requests,0,1,1000000,400,0.02,0.9999,true,4000000.000,0.000
Adaptive3/squashing:hist_begin,0,1,1000000,400,0.02,0.9999,true,684,0
Adaptive3/squashing:hist_end,0,1,1000000,400,0.02,0.9999,true,720,0
Adaptive3/squashing,0,2,1000000,400,0.02,0.9999,true,804560.703,189090.222
Adaptive3/squashing:cross_node_read,0,2,1000000,400,0.02,0.9999,true,2126385.167,1122.879
Adaptive3/squashing:this_node_read,0,2,1000000,400,0.02,0.9999,true,15109968.167,86831.905
Adaptive3/squashing:cross_node_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/squashing:this_node_read_success,0,2,1000000,400,0.02,0.9999,true,12981473.333,87911.036
Adaptive3/squashing:this_node_write,0,2,1000000,400,0.02,0.9999,true,866835.167,31540.375
Adaptive3/squashing:global_data_read_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,0,2,1000000,400,0.02,0.9999,true,3996801.500,81.611
Adaptive3/squashing:same_set_requests_false,0,2,1000000,400,0.02,0.9999,true,2792.500,89.279
Adaptive3/squashing:union_requests,0,2,1000000,400,0.02,0.9999,true,4000000.000,0.000
