DSU,Stage,N,E,ipf,ssf,shuffle,Score,Score Error
Adaptive2/halfing,0,1000000,4000000,0.02,0,true,1311502.432,384924.382
Adaptive2/halfing:cross_node_read,0,1000000,4000000,0.02,0,true,3979220.667,1083576.861
Adaptive2/halfing:this_node_read,0,1000000,4000000,0.02,0,true,34089512.667,988203.225
Adaptive2/halfing:cross_node_write,0,1000000,4000000,0.02,0,true,17080.500,106.120
Adaptive2/halfing:this_node_read_success,0,1000000,4000000,0.02,0,true,4738530.333,791444.845
Adaptive2/halfing:this_node_write,0,1000000,4000000,0.02,0,true,982797.000,97.402
Adaptive2/halfing:global_data_read_write,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive2/halfing:same_set_requests_false,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive2/halfing:union_requests,0,1000000,4000000,0.02,0,true,4000000.000,0.000
Adaptive2/halfing,1,1000000,400,0.02,0.9999,true,1662872.729,522785.511
Adaptive2/halfing:cross_node_read,1,1000000,400,0.02,0.9999,true,4470385.667,1356686.045
Adaptive2/halfing:this_node_read,1,1000000,400,0.02,0.9999,true,33117191.000,1278884.936
Adaptive2/halfing:cross_node_write,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/halfing:this_node_read_success,1,1000000,400,0.02,0.9999,true,2683800.667,943060.892
Adaptive2/halfing:this_node_write,1,1000000,400,0.02,0.9999,true,1.500,0.548
Adaptive2/halfing:global_data_read_write,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1,1000000,400,0.02,0.9999,true,3392324.667,68799.194
Adaptive2/halfing:same_set_requests_false,1,1000000,400,0.02,0.9999,true,607267.833,68799.221
Adaptive2/halfing:union_requests,1,1000000,400,0.02,0.9999,true,407.500,0.548
Adaptive2/halfing,2,1000000,400,0.02,0.9999,true,1759178.638,361658.153
Adaptive2/halfing:cross_node_read,2,1000000,400,0.02,0.9999,true,1355522.667,626047.270
Adaptive2/halfing:this_node_read,2,1000000,400,0.02,0.9999,true,17804498.000,229832.765
Adaptive2/halfing:cross_node_write,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/halfing:this_node_read_success,2,1000000,400,0.02,0.9999,true,218467.667,48688.985
Adaptive2/halfing:this_node_write,2,1000000,400,0.02,0.9999,true,987886.333,149232.590
Adaptive2/halfing:global_data_read_write,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,2,1000000,400,0.02,0.9999,true,3928943.167,24219.745
Adaptive2/halfing:same_set_requests_false,2,1000000,400,0.02,0.9999,true,70658.833,24226.564
Adaptive2/halfing:union_requests,2,1000000,400,0.02,0.9999,true,398.000,8.764
Adaptive3/halfing,0,1000000,4000000,0.02,0,true,1325674.672,441359.473
Adaptive3/halfing:cross_node_read,0,1000000,4000000,0.02,0,true,4232930.833,2125551.134
Adaptive3/halfing:this_node_read,0,1000000,4000000,0.02,0,true,35723588.167,2950583.327
Adaptive3/halfing:cross_node_write,0,1000000,4000000,0.02,0,true,18073.833,225.240
Adaptive3/halfing:this_node_read_success,0,1000000,4000000,0.02,0,true,4231349.167,947430.141
Adaptive3/halfing:this_node_write,0,1000000,4000000,0.02,0,true,981802.833,248.604
Adaptive3/halfing:global_data_read_write,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive3/halfing:same_set_requests_false,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive3/halfing:union_requests,0,1000000,4000000,0.02,0,true,4000000.000,0.000
Adaptive3/halfing,1,1000000,400,0.02,0.9999,true,747692.009,206909.088
Adaptive3/halfing:cross_node_read,1,1000000,400,0.02,0.9999,true,2514826.167,10683.123
Adaptive3/halfing:this_node_read,1,1000000,400,0.02,0.9999,true,15601502.667,294402.955
Adaptive3/halfing:cross_node_write,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/halfing:this_node_read_success,1,1000000,400,0.02,0.9999,true,13084742.833,292074.521
Adaptive3/halfing:this_node_write,1,1000000,400,0.02,0.9999,true,1064169.500,95517.378
Adaptive3/halfing:global_data_read_write,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,1,1000000,400,0.02,0.9999,true,3996928.500,116.665
Adaptive3/halfing:same_set_requests_false,1,1000000,400,0.02,0.9999,true,2664.000,116.117
Adaptive3/halfing:union_requests,1,1000000,400,0.02,0.9999,true,407.500,0.548
Adaptive3/halfing,2,1000000,400,0.02,0.9999,true,972629.188,324104.900
Adaptive3/halfing:cross_node_read,2,1000000,400,0.02,0.9999,true,2119628.500,1040.535
Adaptive3/halfing:this_node_read,2,1000000,400,0.02,0.9999,true,12696935.333,40508.195
Adaptive3/halfing:cross_node_write,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/halfing:this_node_read_success,2,1000000,400,0.02,0.9999,true,10575628.500,39918.291
Adaptive3/halfing:this_node_write,2,1000000,400,0.02,0.9999,true,86654.667,358.868
Adaptive3/halfing:global_data_read_write,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,2,1000000,400,0.02,0.9999,true,3997002.000,44.913
Adaptive3/halfing:same_set_requests_false,2,1000000,400,0.02,0.9999,true,2600.000,36.150
Adaptive3/halfing:union_requests,2,1000000,400,0.02,0.9999,true,398.000,8.764
Adaptive2/squashing,0,1000000,4000000,0.02,0,true,743843.100,108533.385
Adaptive2/squashing:cross_node_read,0,1000000,4000000,0.02,0,true,4848425.833,616198.006
Adaptive2/squashing:this_node_read,0,1000000,4000000,0.02,0,true,35396558.500,620495.560
Adaptive2/squashing:cross_node_write,0,1000000,4000000,0.02,0,true,16729.500,26.696
Adaptive2/squashing:this_node_read_success,0,1000000,4000000,0.02,0,true,5361423.000,276471.771
Adaptive2/squashing:this_node_write,0,1000000,4000000,0.02,0,true,983093.667,24.897
Adaptive2/squashing:global_data_read_write,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive2/squashing:same_set_requests_false,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive2/squashing:union_requests,0,1000000,4000000,0.02,0,true,4000000.000,0.000
Adaptive2/squashing,1,1000000,400,0.02,0.9999,true,1391526.560,403406.276
Adaptive2/squashing:cross_node_read,1,1000000,400,0.02,0.9999,true,5384358.667,943381.843
Adaptive2/squashing:this_node_read,1,1000000,400,0.02,0.9999,true,33749916.167,1143304.406
Adaptive2/squashing:cross_node_write,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/squashing:this_node_read_success,1,1000000,400,0.02,0.9999,true,3206144.833,898544.163
Adaptive2/squashing:this_node_write,1,1000000,400,0.02,0.9999,true,1.500,0.548
Adaptive2/squashing:global_data_read_write,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,1,1000000,400,0.02,0.9999,true,3334367.500,44463.388
Adaptive2/squashing:same_set_requests_false,1,1000000,400,0.02,0.9999,true,665225.000,44463.823
Adaptive2/squashing:union_requests,1,1000000,400,0.02,0.9999,true,407.500,0.548
Adaptive2/squashing,2,1000000,400,0.02,0.9999,true,1654809.909,366080.176
Adaptive2/squashing:cross_node_read,2,1000000,400,0.02,0.9999,true,1398404.000,547976.490
Adaptive2/squashing:this_node_read,2,1000000,400,0.02,0.9999,true,18279674.333,212703.489
Adaptive2/squashing:cross_node_write,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/squashing:this_node_read_success,2,1000000,400,0.02,0.9999,true,216461.000,31948.010
Adaptive2/squashing:this_node_write,2,1000000,400,0.02,0.9999,true,1003082.833,97554.620
Adaptive2/squashing:global_data_read_write,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,2,1000000,400,0.02,0.9999,true,3933275.167,14705.346
Adaptive2/squashing:same_set_requests_false,2,1000000,400,0.02,0.9999,true,66326.833,14710.264
Adaptive2/squashing:union_requests,2,1000000,400,0.02,0.9999,true,398.000,8.764
Adaptive3/squashing,0,1000000,4000000,0.02,0,true,1370445.991,361277.010
Adaptive3/squashing:cross_node_read,0,1000000,4000000,0.02,0,true,3875812.833,1094289.220
Adaptive3/squashing:this_node_read,0,1000000,4000000,0.02,0,true,34667192.833,1579387.943
Adaptive3/squashing:cross_node_write,0,1000000,4000000,0.02,0,true,17537.500,174.977
Adaptive3/squashing:this_node_read_success,0,1000000,4000000,0.02,0,true,4268361.167,280994.081
Adaptive3/squashing:this_node_write,0,1000000,4000000,0.02,0,true,982335.333,192.623
Adaptive3/squashing:global_data_read_write,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive3/squashing:same_set_requests_false,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive3/squashing:union_requests,0,1000000,4000000,0.02,0,true,4000000.000,0.000
Adaptive3/squashing,1,1000000,400,0.02,0.9999,true,778424.302,197480.706
Adaptive3/squashing:cross_node_read,1,1000000,400,0.02,0.9999,true,2180143.333,2758.618
Adaptive3/squashing:this_node_read,1,1000000,400,0.02,0.9999,true,15566876.833,451883.241
Adaptive3/squashing:cross_node_write,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/squashing:this_node_read_success,1,1000000,400,0.02,0.9999,true,13384827.000,449903.336
Adaptive3/squashing:this_node_write,1,1000000,400,0.02,0.9999,true,1012149.167,142561.512
Adaptive3/squashing:global_data_read_write,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,1,1000000,400,0.02,0.9999,true,3996930.000,116.117
Adaptive3/squashing:same_set_requests_false,1,1000000,400,0.02,0.9999,true,2662.500,115.569
Adaptive3/squashing:union_requests,1,1000000,400,0.02,0.9999,true,407.500,0.548
Adaptive3/squashing,2,1000000,400,0.02,0.9999,true,1015760.092,315833.403
Adaptive3/squashing:cross_node_read,2,1000000,400,0.02,0.9999,true,2091353.500,664.686
Adaptive3/squashing:this_node_read,2,1000000,400,0.02,0.9999,true,12675861.667,56634.787
Adaptive3/squashing:cross_node_write,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/squashing:this_node_read_success,2,1000000,400,0.02,0.9999,true,10582807.000,56076.746
Adaptive3/squashing:this_node_write,2,1000000,400,0.02,0.9999,true,83746.667,302.604
Adaptive3/squashing:global_data_read_write,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,2,1000000,400,0.02,0.9999,true,3997002.500,45.461
Adaptive3/squashing:same_set_requests_false,2,1000000,400,0.02,0.9999,true,2599.500,36.697
Adaptive3/squashing:union_requests,2,1000000,400,0.02,0.9999,true,398.000,8.764
Adaptive2/halfing,0,1000000,4000000,0.1,0,true,994988.921,246078.912
Adaptive2/halfing:cross_node_read,0,1000000,4000000,0.1,0,true,10537871.167,2206609.576
Adaptive2/halfing:this_node_read,0,1000000,4000000,0.1,0,true,41095776.333,5155900.679
Adaptive2/halfing:cross_node_write,0,1000000,4000000,0.1,0,true,77877.667,220.499
Adaptive2/halfing:this_node_read_success,0,1000000,4000000,0.1,0,true,8283761.000,1774319.375
Adaptive2/halfing:this_node_write,0,1000000,4000000,0.1,0,true,922008.500,241.620
Adaptive2/halfing:global_data_read_write,0,1000000,4000000,0.1,0,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,0,1000000,4000000,0.1,0,true,0.000,0.000
Adaptive2/halfing:same_set_requests_false,0,1000000,4000000,0.1,0,true,0.000,0.000
Adaptive2/halfing:union_requests,0,1000000,4000000,0.1,0,true,4000000.000,0.000
Adaptive2/halfing,1,1000000,400,0.1,0.9999,true,1201789.986,405988.668
Adaptive2/halfing:cross_node_read,1,1000000,400,0.1,0.9999,true,12281114.667,3975899.343
Adaptive2/halfing:this_node_read,1,1000000,400,0.1,0.9999,true,39348540.000,7629401.637
Adaptive2/halfing:cross_node_write,1,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive2/halfing:this_node_read_success,1,1000000,400,0.1,0.9999,true,6926166.500,2531496.866
Adaptive2/halfing:this_node_write,1,1000000,400,0.1,0.9999,true,0.500,0.548
Adaptive2/halfing:global_data_read_write,1,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1,1000000,400,0.1,0.9999,true,3195721.000,34030.618
Adaptive2/halfing:same_set_requests_false,1,1000000,400,0.1,0.9999,true,803874.000,34035.775
Adaptive2/halfing:union_requests,1,1000000,400,0.1,0.9999,true,405.000,7.668
Adaptive2/halfing,2,1000000,400,0.1,0.9999,true,1777638.020,269930.003
Adaptive2/halfing:cross_node_read,2,1000000,400,0.1,0.9999,true,2917107.667,399483.867
Adaptive2/halfing:this_node_read,2,1000000,400,0.1,0.9999,true,18171217.667,442296.015
Adaptive2/halfing:cross_node_write,2,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive2/halfing:this_node_read_success,2,1000000,400,0.1,0.9999,true,817458.500,178584.859
Adaptive2/halfing:this_node_write,2,1000000,400,0.1,0.9999,true,920192.000,173896.262
Adaptive2/halfing:global_data_read_write,2,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,2,1000000,400,0.1,0.9999,true,3812398.500,20259.340
Adaptive2/halfing:same_set_requests_false,2,1000000,400,0.1,0.9999,true,187188.500,20257.607
Adaptive2/halfing:union_requests,2,1000000,400,0.1,0.9999,true,413.000,2.191
Adaptive3/halfing,0,1000000,4000000,0.1,0,true,1013839.688,320655.497
Adaptive3/halfing:cross_node_read,0,1000000,4000000,0.1,0,true,9224560.167,1354734.567
Adaptive3/halfing:this_node_read,0,1000000,4000000,0.1,0,true,38495302.000,3755588.171
Adaptive3/halfing:cross_node_write,0,1000000,4000000,0.1,0,true,77674.167,308.845
Adaptive3/halfing:this_node_read_success,0,1000000,4000000,0.1,0,true,7034176.333,1240818.736
Adaptive3/halfing:this_node_write,0,1000000,4000000,0.1,0,true,922200.000,321.050
Adaptive3/halfing:global_data_read_write,0,1000000,4000000,0.1,0,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,0,1000000,4000000,0.1,0,true,0.000,0.000
Adaptive3/halfing:same_set_requests_false,0,1000000,4000000,0.1,0,true,0.000,0.000
Adaptive3/halfing:union_requests,0,1000000,4000000,0.1,0,true,4000000.000,0.000
Adaptive3/halfing,1,1000000,400,0.1,0.9999,true,803796.557,189988.578
Adaptive3/halfing:cross_node_read,1,1000000,400,0.1,0.9999,true,3103604.667,109025.702
Adaptive3/halfing:this_node_read,1,1000000,400,0.1,0.9999,true,15930538.000,592938.724
Adaptive3/halfing:cross_node_write,1,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive3/halfing:this_node_read_success,1,1000000,400,0.1,0.9999,true,12825077.667,491643.949
Adaptive3/halfing:this_node_write,1,1000000,400,0.1,0.9999,true,1195049.000,165098.571
Adaptive3/halfing:global_data_read_write,1,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,1,1000000,400,0.1,0.9999,true,3997044.000,12.050
Adaptive3/halfing:same_set_requests_false,1,1000000,400,0.1,0.9999,true,2551.000,4.382
Adaptive3/halfing:union_requests,1,1000000,400,0.1,0.9999,true,405.000,7.668
Adaptive3/halfing,2,1000000,400,0.1,0.9999,true,1075385.078,361592.234
Adaptive3/halfing:cross_node_read,2,1000000,400,0.1,0.9999,true,2413727.000,25249.471
Adaptive3/halfing:this_node_read,2,1000000,400,0.1,0.9999,true,12777472.000,83538.278
Adaptive3/halfing:cross_node_write,2,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive3/halfing:this_node_read_success,2,1000000,400,0.1,0.9999,true,10362034.000,61825.598
Adaptive3/halfing:this_node_write,2,1000000,400,0.1,0.9999,true,141478.167,12185.185
Adaptive3/halfing:global_data_read_write,2,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,2,1000000,400,0.1,0.9999,true,3996975.000,82.158
Adaptive3/halfing:same_set_requests_false,2,1000000,400,0.1,0.9999,true,2612.000,84.349
Adaptive3/halfing:union_requests,2,1000000,400,0.1,0.9999,true,413.000,2.191
Adaptive2/squashing,0,1000000,4000000,0.1,0,true,1019047.654,372842.596
Adaptive2/squashing:cross_node_read,0,1000000,4000000,0.1,0,true,8915006.333,3166576.910
Adaptive2/squashing:this_node_read,0,1000000,4000000,0.1,0,true,39186446.333,7591872.622
Adaptive2/squashing:cross_node_write,0,1000000,4000000,0.1,0,true,79494.000,849.914
Adaptive2/squashing:this_node_read_success,0,1000000,4000000,0.1,0,true,7372513.333,2772710.312
Adaptive2/squashing:this_node_write,0,1000000,4000000,0.1,0,true,920398.000,816.636
Adaptive2/squashing:global_data_read_write,0,1000000,4000000,0.1,0,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,0,1000000,4000000,0.1,0,true,0.000,0.000
Adaptive2/squashing:same_set_requests_false,0,1000000,4000000,0.1,0,true,0.000,0.000
Adaptive2/squashing:union_requests,0,1000000,4000000,0.1,0,true,4000000.000,0.000
Adaptive2/squashing,1,1000000,400,0.1,0.9999,true,1236571.138,561027.101
Adaptive2/squashing:cross_node_read,1,1000000,400,0.1,0.9999,true,10635887.333,5166220.086
Adaptive2/squashing:this_node_read,1,1000000,400,0.1,0.9999,true,38230134.333,10051078.677
Adaptive2/squashing:cross_node_write,1,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive2/squashing:this_node_read_success,1,1000000,400,0.1,0.9999,true,6216087.333,3683578.539
Adaptive2/squashing:this_node_write,1,1000000,400,0.1,0.9999,true,0.500,0.548
Adaptive2/squashing:global_data_read_write,1,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,1,1000000,400,0.1,0.9999,true,3309357.167,38645.795
Adaptive2/squashing:same_set_requests_false,1,1000000,400,0.1,0.9999,true,690237.833,38640.924
Adaptive2/squashing:union_requests,1,1000000,400,0.1,0.9999,true,405.000,7.668
Adaptive2/squashing,2,1000000,400,0.1,0.9999,true,1706245.091,389130.249
Adaptive2/squashing:cross_node_read,2,1000000,400,0.1,0.9999,true,2915832.000,700919.734
Adaptive2/squashing:this_node_read,2,1000000,400,0.1,0.9999,true,18448289.833,596613.142
Adaptive2/squashing:cross_node_write,2,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive2/squashing:this_node_read_success,2,1000000,400,0.1,0.9999,true,904797.833,357539.669
Adaptive2/squashing:this_node_write,2,1000000,400,0.1,0.9999,true,865501.667,142048.801
Adaptive2/squashing:global_data_read_write,2,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,2,1000000,400,0.1,0.9999,true,3826287.333,36379.840
Adaptive2/squashing:same_set_requests_false,2,1000000,400,0.1,0.9999,true,173299.667,36378.124
Adaptive2/squashing:union_requests,2,1000000,400,0.1,0.9999,true,413.000,2.191
Adaptive3/squashing,0,1000000,4000000,0.1,0,true,994411.646,315712.625
Adaptive3/squashing:cross_node_read,0,1000000,4000000,0.1,0,true,9946126.333,1911040.638
Adaptive3/squashing:this_node_read,0,1000000,4000000,0.1,0,true,39759502.500,4749271.932
Adaptive3/squashing:cross_node_write,0,1000000,4000000,0.1,0,true,77602.167,380.151
Adaptive3/squashing:this_node_read_success,0,1000000,4000000,0.1,0,true,7764166.833,1849105.836
Adaptive3/squashing:this_node_write,0,1000000,4000000,0.1,0,true,922274.667,396.557
Adaptive3/squashing:global_data_read_write,0,1000000,4000000,0.1,0,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,0,1000000,4000000,0.1,0,true,0.000,0.000
Adaptive3/squashing:same_set_requests_false,0,1000000,4000000,0.1,0,true,0.000,0.000
Adaptive3/squashing:union_requests,0,1000000,4000000,0.1,0,true,4000000.000,0.000
Adaptive3/squashing,1,1000000,400,0.1,0.9999,true,826518.404,190373.730
Adaptive3/squashing:cross_node_read,1,1000000,400,0.1,0.9999,true,2803330.833,109865.727
Adaptive3/squashing:this_node_read,1,1000000,400,0.1,0.9999,true,15800257.000,445956.359
Adaptive3/squashing:cross_node_write,1,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive3/squashing:this_node_read_success,1,1000000,400,0.1,0.9999,true,12995103.167,376124.986
Adaptive3/squashing:this_node_write,1,1000000,400,0.1,0.9999,true,1123124.333,118058.075
Adaptive3/squashing:global_data_read_write,1,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,1,1000000,400,0.1,0.9999,true,3997043.500,12.598
Adaptive3/squashing:same_set_requests_false,1,1000000,400,0.1,0.9999,true,2551.500,4.930
Adaptive3/squashing:union_requests,1,1000000,400,0.1,0.9999,true,405.000,7.668
Adaptive3/squashing,2,1000000,400,0.1,0.9999,true,1100380.005,382693.552
Adaptive3/squashing:cross_node_read,2,1000000,400,0.1,0.9999,true,2384610.167,35570.189
Adaptive3/squashing:this_node_read,2,1000000,400,0.1,0.9999,true,12731102.833,52588.096
Adaptive3/squashing:cross_node_write,2,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive3/squashing:this_node_read_success,2,1000000,400,0.1,0.9999,true,10344755.000,32003.672
Adaptive3/squashing:this_node_write,2,1000000,400,0.1,0.9999,true,136777.667,15725.331
Adaptive3/squashing:global_data_read_write,2,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,2,1000000,400,0.1,0.9999,true,3996975.000,82.158
Adaptive3/squashing:same_set_requests_false,2,1000000,400,0.1,0.9999,true,2612.000,84.349
Adaptive3/squashing:union_requests,2,1000000,400,0.1,0.9999,true,413.000,2.191
